,accelerometer_raw,time,iss_height,iss_coordinates
0,"{'x': 0.01791326717402527, 'y': 0.03313794947756234, 'z': 0.0129319997504353}",1735914170.740185,414539.9067644925,"-40.0301660926201, -72.82992378545022"
1,"{'x': 0.017792925949569115, 'y': 0.03304769390371765, 'z': 0.0129319997504353}",1735914171.74259,414537.07311208977,"-40.06817969996675, -72.76609078714144"
2,"{'x': 0.017672309958979816, 'y': 0.03295723225605968, 'z': 0.0129319997504353}",1735914172.741059,414534.24321239366,"-40.106031014133166, -72.70238807698355"
3,"{'x': 0.017551883535500235, 'y': 0.03286691278319133, 'z': 0.0129319997504353}",1735914173.7382998,414531.4155249168,"-40.14377052789065, -72.63873150474727"
4,"{'x': 0.017431057144358643, 'y': 0.03277629333572145, 'z': 0.0129319997504353}",1735914174.743628,414528.56094613596,"-40.18178806398088, -72.57446187534852"
5,"{'x': 0.0173240005970001, 'y': 0.03350545759920855, 'z': 0.01394382407188615}",1735914175.748357,414525.70662240265,"-40.21971735467711, -72.51019656081996"
6,"{'x': 0.0187190251393601, 'y': 0.033207566375312414, 'z': 0.013012757313179482}",1735914176.7545621,414522.8460225301,"-40.25762561392557, -72.44582156429524"
7,"{'x': 0.017529857502554567, 'y': 0.0335837733880875, 'z': 0.013508224177218786}",1735914177.749156,414520.006882355,"-40.295176193444256, -72.38191001421316"
8,"{'x': 0.018942821225068067, 'y': 0.03300729620243966, 'z': 0.012866357585279193}",1735914178.752606,414517.144663268,"-40.33293096760579, -72.31750573807535"
9,"{'x': 0.018235951440588868, 'y': 0.03306809808185535, 'z': 0.012232024211115683}",1735914179.753024,414514.2854624848,"-40.370567042280115, -72.25315831350443"
10,"{'x': 0.019230362640958926, 'y': 0.0330024911977174, 'z': 0.013584654593582317}",1735914180.757478,414511.40933589445,"-40.40832621439037, -72.18845355763204"
11,"{'x': 0.018131931337336944, 'y': 0.03262006925606123, 'z': 0.012780136378863834}",1735914181.757727,414508.5440161231,"-40.44586464787129, -72.12398049295932"
12,"{'x': 0.018252916895552314, 'y': 0.03204100049604471, 'z': 0.013137498723618642}",1735914182.76728,414505.6510069391,"-40.483688207467154, -72.0588691449145"
13,"{'x': 0.01943044140986831, 'y': 0.03296467587196114, 'z': 0.0141519997268915}",1735914183.773546,414502.76262374443,"-40.52137116914604, -71.99385075678572"
14,"{'x': 0.019020526343626883, 'y': 0.03151615499495484, 'z': 0.012297522743716122}",1735914184.7743092,414499.88730880595,"-40.55879261361993, -71.92913557903603"
15,"{'x': 0.01775453548975847, 'y': 0.03320190116522472, 'z': 0.014094535560389972}",1735914185.7822359,414496.9903595728,"-40.5964247914767, -71.86390644940614"
16,"{'x': 0.02020417350795954, 'y': 0.033628933114402154, 'z': 0.014333781186899801}",1735914186.784769,414494.1022295878,"-40.63385698410016, -71.79887444376716"
17,"{'x': 0.018949447424221853, 'y': 0.03318034368864543, 'z': 0.013994207309918055}",1735914187.7898722,414491.2082661375,"-40.67127447888911, -71.73371816573648"
18,"{'x': 0.018715829392668103, 'y': 0.03311182866624348, 'z': 0.013853701735523248}",1735914188.790803,414488.32169874996,"-40.70853355500379, -71.66868814419772"
19,"{'x': 0.0185439996421337, 'y': 0.03255021980497786, 'z': 0.012249110258395183}",1735914189.793727,414485.4174761318,"-40.74589879112297, -71.60332212990662"
20,"{'x': 0.01890572314820062, 'y': 0.03257542550239539, 'z': 0.013919404923839253}",1735914190.79351,414482.5262186345,"-40.78304782707393, -71.5381839370317"
21,"{'x': 0.018665897269886107, 'y': 0.03335486007025489, 'z': 0.012858861117951348}",1735914191.79231,414479.6365968722,"-40.820080397712786, -71.47309992369053"
22,"{'x': 0.019347859257248214, 'y': 0.0339160002768039, 'z': 0.0124439997598528}",1735914192.796486,414476.72590136185,"-40.85731187214634, -71.40751454274454"
23,"{'x': 0.01845658720076225, 'y': 0.032025941236837246, 'z': 0.012593355750733098}",1735914193.803872,414473.8065760738,"-40.894626506997284, -71.34162915194074"
24,"{'x': 0.01737246085883725, 'y': 0.032825228760985384, 'z': 0.014248920373877809}",1735914194.80052,414470.91453930875,"-40.931437954495046, -71.2764808376568"
25,"{'x': 0.017853863553055748, 'y': 0.032270793906545796, 'z': 0.013134136780253353}",1735914195.80544,414467.9915914558,"-40.9685863907239, -71.21058289160129"
26,"{'x': 0.019081486538885493, 'y': 0.032452382190202474, 'z': 0.01224834194952799}",1735914196.807583,414465.0798755658,"-41.00553236369545, -71.14489061536689"
